c7b42fe2e53	08	31	29	2	5	0	0
5d824c89c9c	09	9560	3529	6031	157	3	47
396b9deacdf	13	10	9	1	1	0	0
e49429ebd2f	11	4689	3502	1187	59	8	2
aa3b4b4d106	09	9579	3535	6044	157	3	47
47a103a0294	11	9	9	0	2	0	0
895c3647a29	22	9	2	7	1	0	0
530af9cb8e7	22	9	2	7	1	0	0
8c868989be7	19	3	2	1	1	0	0
1349b680bad	00	272	21	251	7	0	4
28451aeabad	20	2	1	1	1	0	0
b7b51cb96be	20	8	6	2	1	0	0
2f26d2acdcc	20	28	0	28	2	0	0
6a3e38af852	18	8	7	1	1	0	0
b94a3f68978	22	14	6	8	2	0	0
67d013ed7e0	22	8	7	1	1	0	0
552bcf33954	22	253	248	5	4	2	0
8d5bc968eb2	10	200508	109166	91342	1318	252	411
707cc25011d	16	3	1	2	1	0	0
e0e38c2f470	16	3334	2519	815	87	5	1
d6712917f58	15	11	10	1	1	0	0
0ec78c961b3	08	16	12	4	0	0	0
d87480beb29	10	36	32	4	2	0	0
685ac099e9d	10	79	44	35	9	0	0
42ecd48c7f6	14	28	23	5	1	0	0
7a0cfe9b116	14	1170	1043	127	17	6	1
270e998c903	04	41	34	7	5	0	0
a2a3fd48934	12	8	8	0	1	0	0
d87ae24dfe1	12	2	1	1	1	0	0
2122a77f517	09	128	87	41	4	0	0
4dbb84fc526	09	4	3	1	2	0	0
7fd35e6ea43	20	15	13	2	2	0	0
c5f5d4cd11c	17	8080	6385	1695	108	51	0
6e08bb94e8b	12	51	51	0	3	0	0
cb4ed3c78fd	22	42	18	24	3	0	0
1fddc1fee84	12	66	41	25	2	0	0
630f0c4660f	09	13	12	1	1	0	0
f3836af2f80	18	43	41	2	1	0	0
73631bbcc83	14	108	100	8	3	1	0
7343c77cdba	14	13	8	5	3	0	0
68c14d69232	12	15	3	12	1	0	0
627c1a92ebc	11	10	9	1	1	0	0
6e453fad87c	14	426	426	0	6	0	0
6adf3ecebb4	13	90	83	7	6	0	0
f39e608c6eb	22	5	5	0	1	0	0
ada85d73070	10	5676	5659	17	8	7	0
8a7d7f8b2b4	19	1	0	1	1	0	0
3122e0eae64	23	11	8	3	1	0	0
d1dd0d6b388	13	4	2	2	1	0	0
ffd0116eda9	13	18	5	13	4	0	0
181b8a5d3af	10	18	13	5	4	0	0
9134a3bf413	10	4	2	2	1	0	0
fd80a31e069	15	106	50	56	1	0	0
c7b42fe2e53	08	31	29	2	5	0	0
5d824c89c9c	09	9560	3529	6031	157	3	47
396b9deacdf	13	10	9	1	1	0	0
e49429ebd2f	11	4689	3502	1187	59	8	2
aa3b4b4d106	09	9579	3535	6044	157	3	47
47a103a0294	11	9	9	0	2	0	0
895c3647a29	22	9	2	7	1	0	0
530af9cb8e7	22	9	2	7	1	0	0
ff6117b8ed5	08	18	17	1	1	0	0
1a84ba2d661	08	14	10	4	1	0	0
1a52d6abccf	08	27	9	18	3	0	0
9f36c0d235f	10	13	13	0	1	0	0
38f6fcd8221	08	20	18	2	2	0	0
9a63a1d89b5	09	13	12	1	1	0	0
338ba2bc806	19	35	23	12	1	0	0
93390ffc209	19	548	369	179	24	0	0
2f0017aa532	19	122	96	26	4	0	0
eba7aae107c	18	36	34	2	1	0	0
4c48df5a357	18	50	47	3	3	0	0
3530fa9cd09	17	51	48	3	2	1	0
1d3d8c0e554	05	10	9	1	2	0	0
9d9fc3fa306	08	4	2	2	1	0	0
b6924937665	19	2	1	1	1	0	0
7f86baf5c77	09	1	1	0	1	0	0
832d4db5f22	18	36	0	36	2	0	1
11337db35f6	17	33	32	1	2	1	0
20247064b63	17	33	32	1	2	1	0
e3452535620	16	142	88	54	5	0	0
ae1e325e8a3	11	14	13	1	4	0	0
9cbfd6ef518	08	4	4	0	1	0	0
7cb38309fe9	08	9	1	8	1	0	0
47ee9a48a84	08	14	4	10	1	0	0
4128d4d2ba8	09	61	4	57	4	0	1
b5175003bca	06	21	15	6	1	0	0
a97bdef06d1	04	44	44	0	2	1	0
73343d5ceef	04	21	3	18	1	0	0
1a1b1a75347	00	1149	955	194	60	4	0
922afd91649	08	3	3	0	1	0	0
c147e810917	10	23	16	7	3	0	0
e50749bb056	10	30	30	0	2	0	0
56d767fd698	07	4	3	1	1	0	0
c047127410b	22	49	49	0	2	1	0
d5198768de2	18	19	14	5	3	0	0
eef0715db56	18	72	70	2	2	1	0
ca550373804	02	4	2	2	1	0	0
2efe4ab7616	09	61	57	4	4	1	0
bd988a590a3	14	1	1	0	1	0	0
a7dd0e51f32	14	15480	1428	14052	140	2	57
01c2a670a1c	11	11	7	4	2	0	0
765b03255c6	09	3	1	2	1	0	0
4a2c3494739	08	17	12	5	1	0	0
65698125317	09	6	0	6	1	0	0
d3204b0225f	13	1	1	0	1	0	0
a960d1707a0	18	77	76	1	2	1	0
8398bf91289	08	19	18	1	2	0	0
3d3d48d4b78	16	408	297	111	28	0	0
a60a9b0dbd0	20	28	22	6	4	0	0
4601e7c8927	06	76	40	36	1	0	0
89e88e96df5	15	1	1	0	1	0	0
0f3b72460b9	23	14	9	5	1	0	0
afaff70a9b7	22	10	5	5	4	0	0
345c40b6615	11	468	302	166	7	0	0
b3ef289ffb7	17	765	621	144	18	1	0
77d1f4a91f2	10	10	8	2	1	0	0
1bd4f3a6052	09	68	67	1	2	1	0
22720524614	15	18	13	5	1	0	0
525fad473bf	20	30	0	30	1	0	1
045f765a1ac	15	5	4	1	1	0	0
592be014b68	23	37	33	4	4	0	0
3054decc199	04	3	2	1	1	0	0
d6fd1187276	20	53224	48123	5101	242	84	3
962f96d3416	12	2115	1806	309	79	5	0
8c868989be7	19	3	2	1	1	0	0
1349b680bad	00	272	21	251	7	0	4
28451aeabad	20	2	1	1	1	0	0
b7b51cb96be	20	8	6	2	1	0	0
2f26d2acdcc	20	28	0	28	2	0	0
6a3e38af852	18	8	7	1	1	0	0
b94a3f68978	22	14	6	8	2	0	0
67d013ed7e0	22	8	7	1	1	0	0
552bcf33954	22	253	248	5	4	2	0
8d5bc968eb2	10	200508	109166	91342	1318	252	411
707cc25011d	16	3	1	2	1	0	0
e0e38c2f470	16	3334	2519	815	87	5	1
d6712917f58	15	11	10	1	1	0	0
0ec78c961b3	08	16	12	4	0	0	0
d87480beb29	10	36	32	4	2	0	0
685ac099e9d	10	79	44	35	9	0	0
42ecd48c7f6	14	28	23	5	1	0	0
7a0cfe9b116	14	1170	1043	127	17	6	1
270e998c903	04	41	34	7	5	0	0
a2a3fd48934	12	8	8	0	1	0	0
d87ae24dfe1	12	2	1	1	1	0	0
2122a77f517	09	128	87	41	4	0	0
4dbb84fc526	09	4	3	1	2	0	0
7fd35e6ea43	20	15	13	2	2	0	0
c5f5d4cd11c	17	8080	6385	1695	108	51	0
6e08bb94e8b	12	51	51	0	3	0	0
cb4ed3c78fd	22	42	18	24	3	0	0
1fddc1fee84	12	66	41	25	2	0	0
630f0c4660f	09	13	12	1	1	0	0
f3836af2f80	18	43	41	2	1	0	0
73631bbcc83	14	108	100	8	3	1	0
7343c77cdba	14	13	8	5	3	0	0
68c14d69232	12	15	3	12	1	0	0
627c1a92ebc	11	10	9	1	1	0	0
6e453fad87c	14	426	426	0	6	0	0
6adf3ecebb4	13	90	83	7	6	0	0
f39e608c6eb	22	5	5	0	1	0	0
ada85d73070	10	5676	5659	17	8	7	0
8a7d7f8b2b4	19	1	0	1	1	0	0
3122e0eae64	23	11	8	3	1	0	0
d1dd0d6b388	13	4	2	2	1	0	0
ffd0116eda9	13	18	5	13	4	0	0
181b8a5d3af	10	18	13	5	4	0	0
9134a3bf413	10	4	2	2	1	0	0
fd80a31e069	15	106	50	56	1	0	0
c7b42fe2e53	08	31	29	2	5	0	0
5d824c89c9c	09	9560	3529	6031	157	3	47
396b9deacdf	13	10	9	1	1	0	0
e49429ebd2f	11	4689	3502	1187	59	8	2
aa3b4b4d106	09	9579	3535	6044	157	3	47
47a103a0294	11	9	9	0	2	0	0
895c3647a29	22	9	2	7	1	0	0
530af9cb8e7	22	9	2	7	1	0	0
ff6117b8ed5	08	18	17	1	1	0	0
1a84ba2d661	08	14	10	4	1	0	0
1a52d6abccf	08	27	9	18	3	0	0
9f36c0d235f	10	13	13	0	1	0	0
38f6fcd8221	08	20	18	2	2	0	0
9a63a1d89b5	09	13	12	1	1	0	0
338ba2bc806	19	35	23	12	1	0	0
93390ffc209	19	548	369	179	24	0	0
2f0017aa532	19	122	96	26	4	0	0
eba7aae107c	18	36	34	2	1	0	0
4c48df5a357	18	50	47	3	3	0	0
3530fa9cd09	17	51	48	3	2	1	0
1d3d8c0e554	05	10	9	1	2	0	0
9d9fc3fa306	08	4	2	2	1	0	0
b6924937665	19	2	1	1	1	0	0
7f86baf5c77	09	1	1	0	1	0	0
832d4db5f22	18	36	0	36	2	0	1
11337db35f6	17	33	32	1	2	1	0
20247064b63	17	33	32	1	2	1	0
e3452535620	16	142	88	54	5	0	0
ae1e325e8a3	11	14	13	1	4	0	0
9cbfd6ef518	08	4	4	0	1	0	0
7cb38309fe9	08	9	1	8	1	0	0
47ee9a48a84	08	14	4	10	1	0	0
4128d4d2ba8	09	61	4	57	4	0	1
b5175003bca	06	21	15	6	1	0	0
a97bdef06d1	04	44	44	0	2	1	0
73343d5ceef	04	21	3	18	1	0	0
1a1b1a75347	00	1149	955	194	60	4	0
922afd91649	08	3	3	0	1	0	0
c147e810917	10	23	16	7	3	0	0
e50749bb056	10	30	30	0	2	0	0
56d767fd698	07	4	3	1	1	0	0
c047127410b	22	49	49	0	2	1	0
d5198768de2	18	19	14	5	3	0	0
eef0715db56	18	72	70	2	2	1	0
ca550373804	02	4	2	2	1	0	0
2efe4ab7616	09	61	57	4	4	1	0
bd988a590a3	14	1	1	0	1	0	0
a7dd0e51f32	14	15480	1428	14052	140	2	57
01c2a670a1c	11	11	7	4	2	0	0
765b03255c6	09	3	1	2	1	0	0
4a2c3494739	08	17	12	5	1	0	0
65698125317	09	6	0	6	1	0	0
d3204b0225f	13	1	1	0	1	0	0
a960d1707a0	18	77	76	1	2	1	0
8398bf91289	08	19	18	1	2	0	0
3d3d48d4b78	16	408	297	111	28	0	0
a60a9b0dbd0	20	28	22	6	4	0	0
4601e7c8927	06	76	40	36	1	0	0
89e88e96df5	15	1	1	0	1	0	0
0f3b72460b9	23	14	9	5	1	0	0
afaff70a9b7	22	10	5	5	4	0	0
345c40b6615	11	468	302	166	7	0	0
b3ef289ffb7	17	765	621	144	18	1	0
77d1f4a91f2	10	10	8	2	1	0	0
1bd4f3a6052	09	68	67	1	2	1	0
22720524614	15	18	13	5	1	0	0
525fad473bf	20	30	0	30	1	0	1
045f765a1ac	15	5	4	1	1	0	0
592be014b68	23	37	33	4	4	0	0
3054decc199	04	3	2	1	1	0	0
d6fd1187276	20	53224	48123	5101	242	84	3
962f96d3416	12	2115	1806	309	79	5	0
